lang_loading_game    ="Menunggu"
lang_tut_play_14_1    ="Sebuah <rgb = 49,138,0> Palu Godam </rgb> dapat menghancurkan seluruh baris permata di papan, pilih <rgb = 49,138,0> Palu Godam </rgb> untuk menggunakannya"
lang_tut_play_16_1    ="Cocokkan permata dengan warna yang sama di sekitar permata yang dikunci oleh <rgb = 49.138,0> Tanaman merambat </rgb> untuk menghancurkannya"
lang_tut_play_21    ="Bawa <rgb = 49.138,0> Donat </rgb> ke bagian bawah meja untuk mengambilnya"
lang_tut_play_26    ="Cocokkan permata berwarna di sebelah <rgb = 49.138,0> Kotak Susu </rgb> untuk menghancurkannya"
lang_tut_play_31    ="Sebuah <rgb = 49.138,0> Awan </rgb> dapat membuat populasi sendiri. Cocokkan permata berwarna di sebelahnya untuk membersihkan <rgb = 49.138,0> Awan </rgb>"
lang_tut_play_37    ="Seekor <rgb = 49.138,0> Icefish </rgb> dapat bertukar tempat dengan permata berwarna dan dihancurkan saat mencocokkan permata di sekitarnya"
lang_tut_play_43    ="Cocokkan permata berwarna di sebelah <rgb=49.138,0> Batu </rgb> untuk menghancurkannya"
lang_tut_play_51    ="Sebuah <rgb = 49.138,0> Balon </rgb> harus dipompa penuh agar bisa terbang. <rgb = 49.138,0> Isi bilah udara </rgb>"
lang_tut_play_58_1    ="Buat banyak <rgb = 49,138,0> dampak </rgb> ke <rgb = 49,138,0> pompa </rgb> untuk meningkatkan kecepatan terbang balon"
lang_tut_play_58_2    ="Cocokkan permata berwarna di sebelah <rgb = 49.138,0> Musang Pencuri </rgb> untuk mendapatkan permata khusus"
lang_tut_play_64    ="Mari kita jelajahi <rgb = 49.138,0> Lampu Lalu Lintas </rgb> dalam 3 warna berbeda"
lang_tut_play_73_1    ="Sebuah <rgb = 49,138,0> Lampu Lalu Lintas </rgb> dapat diperoleh dengan mencocokkan <rgb = 49,138,0> permata berwarna dengan warna yang sama dengan cahaya </rgb>"
lang_tut_play_73_2    ="Kumpulkan permata dengan warna yang sama dengan <rgb = 49.138,0> Mobil Mainan </rgb> untuk mengaktifkannya"
lang_tut_play_102_1    ="Nomor di mobil adalah jumlah permata yang perlu dikumpulkan untuk menjalankan mobil"
lang_tut_play_102_2    ="Sebuah <rgb = 49.138,0> Bom Awan </rgb> memiliki warna yang sama dengan permata dan memiliki penghitung mundur"
lang_tut_play_127_1    ="Cocokkan <rgb = 49,138,0> Bom awan </rgb> dengan <rgb = 49,138,0> permata dengan warna yang sama </rgb> untuk mencegah Bom meledak"
lang_tut_play_127_2    ="Hati-hati, <rgb = 49,138,0> Bom Awan </rgb> akan meledak ketika konter di atasnya <rgb = 49,138,0> mencapai 0 </rgb>"
lang_tut_play_127_3    ="Seorang <rgb = 49,138,0> Bajak Laut Tikus </rgb> akan melempar tali dan <rgb = 49,138,0> mengunci </rgb> semua permata di bawah"
lang_tut_play_151_1    ="Tangkap <rgb = 49,138,0> Bajak Laut Tikus </rgb> sebanyak mungkin untuk menyelesaikan level dengan mencocokkan permata di sebelahnya"
lang_tut_play_151_2    ="Cocokkan cukup permata dengan warna berbeda di sebelah <rgb = 49.138,0> Pinwheels </rgb> untuk mengumpulkannya"
lang_tut_play_176    ="Sebuah <rgb = 49,138,0> Koper </rgb> hanya dapat dipengaruhi oleh permata khusus: <rgb = 49,138,0> Bom, Roket, Kembang Api </rgb>"
lang_tut_play_199    ="Sebuah <rgb = 49.138,0> Mutiara </rgb> memiliki 2 status: terbuka dan tertutup. Gunakan permata khusus untuk membuat <rgb = 49.138,0> Mutiara </rgb> membuka cangkangnya"
lang_tut_play_239_1    ="Sebuah <rgb = 49,138,0> Pearl </rgb> akan menutup cangkangnya <rgb = 49,138,0> </rgb> jika <rgb = 49,138,0> tidak terpengaruh </rgb> pada langkah selanjutnya"
lang_tut_play_239_2    ="Kumpulkan cukup <rgb = 49,138,0> Kunci </rgb> yang diperlukan untuk membuka <rgb = 49,138,0> Peti </rgb>"
lang_tut_play_279    ="Cocokkan permata berwarna di sebelah <rgb = 49,138,0> Botol Sabun </rgb> untuk membuat <rgb = 49,138,0> Gelembung </rgb>"
lang_tut_play_329    ="Kumpulkan permata yang cocok dengan warna pada kunci <rgb = 49.138,0> Brankas</rgb> untuk membukanya"
lang_tut_play_379    ="Cocokkan dengan permata berwarna di bawah tali pengikat <rgb = 49,138,0> Balon </rgb> untuk memotongnya"
lang_tut_play_433    ="Cocokkan dengan permata berwarna yang berdekatan dengan <rgb = 49.138,0> Semak </rgb> untuk menghancurkannya"
lang_tut_play_484    =""
#SHOP    =""
lang_shop_tile    ="Toko Kucing"
lang_tab_g    ="Top up G"
lang_tab_gold    ="Tukar Gold"
ALERT_BUY_GOLD    ="Belanjakan @Num@G untuk ganti @Name@?"
ALERT_BUY_GOLD_CONFIRM    ="Ganti"
lang_sms_purchase    ="Top up gold via SMS"
notice_try_purchase_again    ="Pembayaran error, silahkan coba lagi"
notice_processing    ="Top up sedang diproses, mohon tunggu"
notice_wait_to_request    ="Mohon tunggu @num@ @time@ untuk permintaan selanjutnya"
notice_purchase_error    ="Info top up salah, silakan periksa kembali"
notice_need_code    ="Kode kartu tidak dimasukkan"
notice_need_seri    ="Nomor serial kartu tidak dimasukkan"
notice_purchase_already_use    ="Kartu telah digunakan"
lang_select_carrier    ="Pilih kartu provider yang ingin digunakan:"
lang_send_sms    ="Silakan kirim pesan berikut untuk top-up:"
lang_shop_text_sms    ="Tulis"
lang_shop_send_sms    ="Kirim"
lang_copy_sms_code    ="Salin pesan"
notice_try_purchase_sms_again    ="Terjadi kesalahan saat mengambil konten pesan, coba lagi"
sms_content_info    ="<color = YELLOW> So?n </color> <color = GREEN>“@sms@”</color> <color = YELLOW> g?i </color> <color = GREEN>@service_number@</color>"
lang_money_pay    ="Isi ulang"
lang_method_not_support    ="Metode pembayaran tidak mendukung"
lang_charge    ="Top up kartu:"
lang_select_pay_method    ="Pilih metode pembayaran:"
lang_des_purchase_gift_pack    ="Isi ulang @money@ atau lebih untuk beli @gift_pack@"
lang_giao_dich    ="Transaksi: Rp @value@ = @valueGet@"
lang_number    ="Nomor kartu:"
lang_seri    ="Nomor serial:"
lang_des_purchase    ="Rp 64,28 = 1G"
lang_charge_zing    ="Top up dengan kartu"
lang_zingcard_code    ="Kode kartu (bagian terlindungi)"
lang_zingcard_seri    ="Nomor serial"
lang_store_zing_card    ="Dimana membeli Kartu Zing"
lang_pack_zing_card    ="untuk beli"
lang_doi_bang_g    ="Tukar G"
atm_error    ="Metode pembayaran tidak didukung atau dalam maintenance.\n (Error @value@)"
lang_zingcard    ="Kartu Zing"
lang_atm_bank    ="Top up dengan ATM"
lang_chose_bank    ="PIlih Bank"
lang_carrier_not_support    ="Kartu SIM @carrier@ tidak mendukung"
lang_carrier_not_support_price    ="Kartu SIM @carrier@ tidak mendukung pembayaran @price@"
lang_using    ="sedang digunakan"
lang_select_price    ="Pilihan harga top up kartu"
lang_bcode_maintaining    ="Sistem pembayaran dengan @bank@ sedang maintenance"
lang_shop_channel_0    ="Google Playstore"
lang_shop_channel_1    ="SMS"
lang_shop_channel_2    ="Kartu Zing"
lang_shop_channel_3    ="ATM"
lang_shop_channel_4    ="ZaloPay"
lang_shop_g_atm_pack_0    ="Paket Kepergian"
lang_shop_g_atm_pack_1    ="Paket Tamasya"
lang_shop_g_atm_pack_2    ="Paket Perjalanan"
lang_shop_g_atm_pack_3    ="Paket Penemuan"
lang_shop_g_atm_pack_4    ="Paket Petualangan"
lang_shop_g_atm_pack_5    ="Paket Ekspedisi"
lang_shop_g_sms_pack_0    ="Paket Pelajaran"
lang_shop_g_sms_pack_1    ="Paket Persiapan"
lang_shop_g_sms_pack_2    ="Paket Koleksi"
lang_shop_g_sms_pack_3    ="Paket Kepergian"
lang_shop_g_sms_pack_4    ="Paket Tamasya"
lang_shop_g_iap_pack_0    ="Paket Persiapan"
lang_shop_g_iap_pack_1    ="Paket Kepergian"
lang_shop_g_iap_pack_2    ="Paket Perjalanan"
lang_shop_g_iap_pack_3    ="Paket Penemuan"
lang_shop_g_iap_pack_4    ="Paket Petualangan"
lang_shop_g_iap_pack_5    ="Paket Ekspedisi"
lang_shop_g_iap_pack_6    ="Paket Terobosan"
lang_shop_g_zing_pack_0    ="Paket Pelajaran"
lang_shop_g_zing_pack_1    ="Paket Persiapan"
lang_shop_g_zing_pack_2    ="Paket Kepergian"
lang_shop_g_zing_pack_3    ="Paket Tamasya"
lang_shop_g_zing_pack_4    ="Paket Perjalanan"
lang_shop_g_zing_pack_5    ="Paket Petualangan"
lang_shop_g_zing_pack_6    ="Paket Ekspedisi"
lang_shop_gold_pack_0    ="Paket Koin Emas"
lang_shop_gold_pack_1    ="Paket Batang Emas"
lang_shop_gold_pack_2    ="Paket Tas Emas"
lang_shop_gold_pack_3    ="Paket Tambang Emas"
lang_shop_gold_pack_4    ="Paket Tumpukan Emas"
lang_wait_buy_iap    ="Tunggu untuk beli lagi!"
second    ="detik"
minute    ="menit"
hour    ="jam"
lang_error_code    ="Kode error"
lang_error_general    ="Error @err@! Mohon coba lagi nanti."
lang_go_shop_ask    ="Masuk toko untuk beli lagi!"
lang_go_shop    ="Pergi ke Toko"
lang_switch_shop_g_ask    ="Beli G untuk ditukar menjadi Gold!"
lang_buy_now    ="Beli sekarang"
lang_buy_g    ="Beli G untuk ditukar menjadi Gold!"
lang_buy_gold    ="Beli Gold"
lang_buy_booster    ="Tambah Booster!"
lang_buy_tool    ="Tambah Alat!"
lang_buy_heart    ="Tambah Hati!"
lang_bonus    ="dapat lebih:"
# Daily Login    =""
lang_dailylogin_title    ="Hadiah login!"
lang_dailylogin_today    ="Hari ini"
lang_dailylogin_tmr    ="Besok"
lang_dailylogin_dayX    ="Hari X"
lang_dailylogin_day7    ="Hari 7 - Kado Spesial"
lang_choose_chest_to_open    ="Pilih 1 harta untuk dibuka"
lang_touch_to_claim    ="Ketuk untuk ambil"
lang_not_enough_gold    ="Gold kurang"
lang_out_of_gold    ="Kehabisan gold"
lang_notice_exit_game    ="Mau keluar game!"
lang_btn_cancel    ="Batal"
lang_btn_exit_game    ="Keluar game"
lang_confirm_ok    ="OK"
lang_ok    ="OK"
lang_confirm    ="Konfirm"
lang_game_name    ="Catventure"
EMAIL_REPORT_SENDTO    ="meoduky.zingplay@gmail.com"
EMAIL_REPORT_TITLE    ="[Zingplay] Saran, lapor eror untuk Petualangan Kucing"
EMAIL_REPORT_DEVICE    ="- Perangkat: @device@ \n"
EMAIL_REPORT_OS_NAME    ="- OS: @os_name@ \n"
EMAIL_REPORT_OS_VERSION    ="- Versi OS: @os_version@ \n"
EMAIL_REPORT_GAME_VERSION    ="- Versi game: @game_version@ \n"
EMAIL_REPORT_USER_ID    ="- UID: @user_id@ \n"
EMAIL_REPORT_OPENING    ="Halo,\n [Kemasukan anda akan bantu kami buat game lebih baik]"
noti_ask_mapping    ="Sambungkan akun <rgb = 49,138,0> Tamu </rgb> dengan <rgb = 49,138,0> Facebook </rgb>?\n (hanya bisa disambung ke akun yang belum pernah bermain Petualangan Kucing)"
noti_confirm_mapping    ="Konfim menyambung akun Tamu ke Facebook?"
noti_mapping_success    ="Sambungan berhasil!"
noti_mapping_failed    ="Sambungan akun gagal"
MAPPING_BEFORE    ="Akun ini sudah disambung ke akun lainnya!"
MAPPING_NOT_GUEST    ="Hanya akun Tamu yang bisa disambung!"
MAPPING_ACCOUNT_EXIST    ="Akun itu sudah ada progress, mohon sambungkan ke akun yang belum pernah main Petualangan Kucing"
noti_login_fail    ="Tidak bisa login akun"
noti_mapping_login_fail    ="Tidak bisa verifikasi akun tersambung"
lang_select_method    ="Pilih metode pembayaran"
lang_rate_0    ="Rate"
lang_rate_1    ="Suka main Petualangan Kucing?"
lang_rate_3    ="Rate <rgb = 212,75,23> 5 Bintang </rgb> di appstore untuk dapat hadiah"
lang_select_to_buy    ="Pilih metode pembayaran"
# Ranking    =""
lang_ranking_title    ="RANKING"
lang_tab_title_all    ="All Time"
lang_tab_title_week    ="Mingguan"
lang_tab_friend    ="Teman"
lang_vietnam    ="Vietnam"
lang_tab_global    ="Dunia"
lang_connect_facebook    ="Sambungkan Facebook untuk save game dan menemu teman"
lang_switch_facebook    ="Ganti ke akun Facebook untuk akses ke ranking dan berteman"
lang_btn_switch    ="Ganti"
lang_scroll_top    ="Atas"
lang_scroll_bot    ="Bawah"
lang_ranking_point    ="Level"
# Win Streak    =""
lang_notify_lose_winstreak    ="Keluar game?\nKamu akan kehilangan powerup yang dikasih!"
lang_winstreak_name    ="Workshop Crafting"
lang_winstreak_intro    ="Untuk setiap level terus menerus, kamu dapat hadiah powerup"
# Ingame GUI    =""
lang_btn_continue_play    ="Main Terus"
lang_btn_play_now    ="Main"
lang_btn_replay    ="Replay"
lang_btn_quit_game    ="Keluar Game"
lang_reward    ="Hadiah"
lang_lose    ="Hampir!"
lang_choose_booster    ="Pilih Level Booster"
lang_gui_quitgame_title    ="Keluar game?\nKamu akan kehilangan powerup yang dikasih!"
lang_target    ="Tujuan"
lang_gui_quitgame_des    ="Keluar game?\nKamu akan kehilangan hati"
lang_last_heart_end_game    ="Hati Terakhir!"
lang_lose_collection_end_game_1    ="Kamu akan kehilangan progress kamu!"
lang_lose_winstreak_end_game    ="Kamu akan kehilangan Hadiah Workshop Crafting!"
lang_last_heart_end_game_1    ="Ini hati terakhirmu. Harus tunggu 30 menit untuk hati berikutnya"
lang_lose_collection_end_game    ="Kumpulkan dan kamu dapat hadiah\nJangan kehilangan"
lang_level    ="Level"
lang_hard    ="Susah"
# Event Collect    =""
lang_event_collect_title    ="Harta Kolektor"
lang_event_collect_quest    ="Kumpulkan @amount@ @type@ untuk dapat hadiah!"
# Alert    =""
lang_alert_confirm_progress    ="Jika kamu mau ganti progress kamu, tolong ketik "Okay""
lang_alert_not_login    ="Kamu belum login"
lang_alert_punish_cheat    ="Sistem mendeteksi manipulasi waktu..."
lang_alert_login_succeed    ="Login berhasil."
lang_alert_no_internet    ="Tidak bisa sambung ke internet!"
lang_alert_not_enough_card    ="Kartu kamu kurang."
lang_alert_recipe_cooling_down    ="Resep ini lagi cooldown."
lang_alert_comeback_tomorrow    ="Balik lagi besok."
lang_alert_out_of_level    ="Selamat sudah selesaikan level terakhir di petualangan ini. Akan ada lebih banyak tantangan menunggumu. Tunggu update berikutnya!"
lang_alert_display_unavailable_artifact    ="Artefak ini kehabisan energi dan tidak aktif lagi\n\nMau simpan di Koleksi?"
lang_alert_confirm_undisplay_artifact    ="Masih mau menggunakan Artefak?\nJika disimpan di Koleksi maka akan menjadi nonaktif"
lang_alert_cannot_change_acc    ="Tidak bisa ganti akun!"
lang_offer_1    ="Petualangan Mulai"
lang_offer_2    ="Gerakan Penemuan"
lang_offer_3    ="Menjelajahi Dunia"
lang_offer_110    ="Menjelajahi Dunia"
lang_offer_120    ="Menjelajahi Dunia"
lang_offer_130    ="Menjelajahi Dunia"
# Craft    =""
lang_craft_machine    ="Mesin Crafting"
lang_craft_ingredient    ="Bahan"
lang_craft_reward    ="Item"
lang_connect_for_recipe    ="Sambung ke internet untuk ambil resep."
lang_craft_inventory    ="Inventori Koleksi Kartu"
lang_recipe_cooldown    ="Resep akan siap dalam"
lang_craft    ="Bikin"
lang_login_for_recipe    ="Login untuk dapat resep"
#Ads    =""
lang_ads_heart_des    ="Tambah 1 hati untuk lanjut bermain"
lang_ads_win_streak_des    ="Tambah 1 level ke workshop crafting"
lang_title_ads_win_streak    ="Upgrade Workshop Crafting"
lang_skyrace_title    ="Balapan Langit"
lang_skyrace_end    ="Selesai"
lang_sky_race_rule    ="Selesaikan <rgb = 255,255,0> 10 level pertama </rgb> dan dapatkan hadiah keren."
lang_loading    ="Loading..."
lang_you    ="Kamu belum login"
lang_none    ="Tidak"
lang_start    ="Mulai"
lang_end    ="Selesai"
# Adventure Cup    =""
lang_advt_title    ="Raja Petualangan"
lang_advt_des    =""
lang_advt_buy_failed    ="Eror Data!"
lang_advt_cup    ="Gelas"
lang_advt_hint_connect    ="Sambung ke internet untuk mengikuti balapan"
lang_advt_hint_connect1    ="Selamat sudah menang\nSambung ke internet untuk mengikuti balapan"
lang_advt_hint_win    ="Rank: @i@"
lang_advt_rank    =""
# Craft Tutorial    =""
lang_craft_tutorial_1    ="Buka <rgb = 49,138,0> Koleksi </rgb>untuk melihat kartu barumu!"
lang_craft_tutorial_2    ="Buka lagi setelah <rgb = 49,138,0> waktu habis</rgb> untuk <rgb = 49,138,0> klaim kado berikutnya </rgb>!"
lang_craft_tutorial_3    ="<rgb = 49,138,0> Ketuk </rgb> <rgb = 49,138,0> Artefak </rgb> untuk ambil kado."
lang_craft_tutorial_4    ="Artefak hanya <rgb = 49,138,0> aktif </rgb> saat <rgb = 49,138,0> diperlihatkan di rak </rgb> . Ketuk di slot untuk buka."
lang_craft_tutorial_5    ="<rgb = 49,138,0> Kartu Artefak </rgb> yang kamu baru dapat bisa bikin<rgb = 49,138,0> Artefak </rgb>."
lang_craft_tutorial_6    ="Klik disini untuk membuka <rgb = 49,138,0> Mesin Crafting</rgb> ."
lang_craft_tutorial_7    ="Kamu dapat resep yang bisa dibuat!"
lang_craft_tutorial_8    ="Kamu bisa memakai kartu itu untuk <rgb = 49,138,0> membuat</rgb> <rgb = 49,138,0> Artefak</rgb> berguna dan <rgb = 49,138,0> Item</rgb>."
lang_craft_tutorial_9    ="Bahan kamu cukup untuk resep ini! Ketuk <rgb = 49,138,0> Bikin </rgb> sekaran."
lang_craft_tutorial_10    ="Ini ada <rgb = 49,138,0> bahan </rgb> kartu digunakan untuk resep"
lang_craft_tutorial_11    ="Ini kartu yang  <rgb = 49,138,0> dimiluk kamu</rgb>"
lang_craft_tutorial_12    ="Kamu baru dapat kartu <rgb = 49,138,0> Bis Doble-Deck </rgb> "
lang_craft_tutorial_13    ="<rgb = 49,138,0> Artefak </rgb> sangat kuat dan berguna untuk permainan kamu!"
lang_craft_tutorial_14    ="Untuk <rgb = 49,138,0> membuat</rgb> Bis Doble-Deck, kamu butuh <rgb = 49,138,0> 10 Kartu Artefak </rgb> jenis ini"
lang_craft_tutorial_15    ="Kamu mengumpulkan cukup untuk dapat <rgb = 49,138,0> hadiah</rgb>."
# Piggy    =""
lang_piggy_title    ="Celengan"
lang_piggy_des    ="Kumpulkan G dengan setiap kemenangan\nKumpulkan lebih dari <color = YELLOW> @numG1@G </color> untuk beli Celengan di harga murah, atau tabung terus untuk beli<color = YELLOW> @numG2@G </color>"
lang_piggy_step_1    ="Menang Level"
lang_piggy_step_2    ="Kumpulkan G"
lang_piggy_step_3    ="Beli Celengan!"
lang_piggy_full_short    ="Penuh!"
lang_piggy_current    ="Sudah <rgb = 49,138,0> @num@G </rgb> "
lang_piggy_full_long    ="Penuh!"
lang_piggy_info1_not_enough    ="G kamu kurang"
lang_piggy_info1_enough    ="Minimum G tercapai"
lang_piggy_info1_full    ="Celengannya penuh!!!"
